Province,C01_TOPSIS,C01_VIKOR,C01_PROMETHEE,C01_COPRAS,C01_EDAS,C02_TOPSIS,C02_VIKOR,C02_PROMETHEE,C02_COPRAS,C02_EDAS,C03_TOPSIS,C03_VIKOR,C03_PROMETHEE,C03_COPRAS,C03_EDAS,C04_TOPSIS,C04_VIKOR,C04_PROMETHEE,C04_COPRAS,C04_EDAS,C05_TOPSIS,C05_VIKOR,C05_PROMETHEE,C05_COPRAS,C05_EDAS,C06_TOPSIS,C06_VIKOR,C06_PROMETHEE,C06_COPRAS,C06_EDAS,C07_TOPSIS,C07_VIKOR,C07_PROMETHEE,C07_COPRAS,C07_EDAS,C08_TOPSIS,C08_VIKOR,C08_PROMETHEE,C08_COPRAS,C08_EDAS,Mean_Rank,Median_Rank,StdDev_Rank,Best_Rank,Worst_Rank,Rank_Range
P01,16,20,17,11,10,3,3,4,3,3,53,53,47,51,52,47,46,46,48,48,36,36,41,40,42,28,34,31,31,33,61,61,61,61,61,3,3,3,3,3,31,34,21,3,61,58
P02,28,28,25,26,28,8,10,13,11,11,35,33,35,33,32,23,27,20,22,22,37,45,35,34,32,47,54,48,53,52,12,8,7,9,8,13,13,15,11,14,25,25,14,7,54,47
P03,49,46,48,46,46,16,17,24,22,24,43,44,49,46,44,61,61,60,59,59,59,60,59,59,59,48,53,44,47,47,20,18,28,25,27,44,48,50,50,50,44,47,14,16,61,45
P04,19,21,20,19,20,6,6,11,7,10,12,13,13,13,14,25,26,28,27,27,12,12,11,11,11,51,50,50,52,53,14,12,30,22,22,28,24,21,20,21,22,20,13,6,53,47
P05,23,23,24,24,24,36,35,40,38,35,5,7,8,9,9,45,44,44,45,46,51,51,51,49,48,32,39,35,37,37,45,40,46,43,42,56,55,53,54,54,37,40,14,5,56,51
P06,35,33,33,33,34,38,36,39,39,38,15,16,19,19,22,54,55,52,55,55,61,61,60,61,61,46,38,49,46,45,40,38,44,42,40,37,37,35,35,35,41,39,12,15,61,46
P07,50,47,50,48,48,34,37,43,42,42,16,17,26,23,24,53,57,50,54,54,48,48,38,38,37,61,61,61,61,61,7,11,22,8,11,4,5,7,6,8,35,38,19,4,61,57
P08,21,22,23,23,22,13,14,16,15,15,45,45,48,47,45,50,48,53,50,50,53,55,52,50,51,45,41,42,41,41,29,25,33,30,30,33,33,25,25,27,36,36,13,13,55,42
P09,22,19,21,22,23,33,33,33,33,32,22,19,16,16,16,33,37,30,30,31,31,29,32,32,34,34,33,36,36,35,25,23,17,23,20,43,42,40,39,39,29,31,8,16,43,27
P10,42,43,36,37,36,26,28,37,34,34,34,35,37,36,36,44,47,42,43,42,41,38,45,45,45,54,51,55,54,54,36,33,41,37,37,40,38,36,36,36,40,38,7,26,55,29
P11,27,26,26,25,26,29,29,28,28,27,17,20,25,22,21,38,39,34,36,36,57,57,56,56,56,26,35,23,29,30,6,6,9,5,7,31,32,29,29,28,29,28,13,5,57,52
P12,2,3,2,2,2,2,2,2,2,2,3,3,1,2,2,28,30,19,23,25,29,32,27,22,20,15,12,12,12,12,55,54,53,54,54,23,20,10,10,10,17,12,17,1,55,54
P13,18,18,18,16,15,14,13,10,14,13,36,32,29,31,31,26,28,26,26,26,28,31,21,18,16,33,28,29,32,29,27,27,26,26,23,34,35,34,32,30,25,26,7,10,36,26
P14,4,5,4,4,4,15,15,9,13,12,50,51,46,49,50,2,2,2,2,2,10,11,10,10,10,1,2,2,1,1,24,30,14,21,29,24,21,13,13,12,15,11,15,1,51,50
P15,3,2,3,3,3,32,32,29,32,31,13,12,11,12,12,24,24,21,25,24,27,26,30,30,30,27,24,22,22,22,50,48,50,49,49,58,59,58,58,58,29,27,17,2,59,57
P16,26,30,27,28,27,5,5,5,5,5,28,27,27,27,27,27,29,23,21,23,13,14,15,13,13,38,29,33,35,32,53,53,51,53,53,50,50,45,47,49,29,27,15,5,53,48
P18,9,10,9,9,9,45,43,36,40,41,14,14,15,15,15,43,45,38,42,43,2,2,2,2,2,3,3,3,3,3,51,49,48,47,48,29,25,24,23,24,23,23,17,2,51,49
P19,15,14,15,17,17,47,47,46,46,46,47,47,45,45,47,56,53,56,53,53,22,23,29,27,23,18,16,20,20,18,57,56,59,59,59,49,49,46,46,48,39,46,16,14,59,45
P20,29,42,22,21,19,30,31,31,31,29,46,46,51,48,48,51,52,54,56,56,50,46,49,47,47,17,18,30,16,20,49,47,49,46,46,45,44,38,38,38,39,45,12,16,56,40
P21,13,15,12,14,14,24,24,21,24,21,20,18,18,18,18,19,20,17,19,18,26,27,23,26,28,12,11,13,13,13,42,41,39,40,41,36,34,37,37,37,24,21,10,11,42,31
P22,30,27,28,27,29,9,9,8,10,9,11,9,6,7,5,29,23,27,29,29,25,24,26,29,29,8,9,9,8,8,33,32,42,36,36,18,19,22,22,22,20,22,10,5,42,37
P23,5,4,5,5,5,56,61,49,53,57,21,21,17,17,17,36,35,36,37,37,20,20,22,23,25,49,47,51,48,48,44,51,45,50,51,57,57,57,57,57,36,37,18,4,61,57
P24,6,7,8,8,8,43,41,35,36,37,30,31,31,30,30,35,36,37,35,35,7,7,9,8,8,10,13,11,11,11,39,39,36,39,38,12,11,17,17,18,23,23,13,6,43,37
P25,14,12,14,15,16,48,48,41,43,45,37,37,33,35,35,41,42,39,40,40,11,10,13,12,12,14,17,18,17,16,35,35,29,33,32,41,41,43,42,40,30,35,13,10,48,38
P26,7,8,7,7,7,42,42,34,35,39,7,6,7,5,6,18,22,13,14,14,15,15,18,19,19,19,20,19,21,21,21,20,13,15,18,55,54,55,56,56,22,19,15,5,56,51
P27,20,16,19,20,21,55,55,47,50,50,4,4,10,6,8,40,41,40,38,38,23,22,25,28,27,41,36,41,40,40,22,21,19,20,15,38,39,44,44,42,30,30,14,4,55,51
P28,1,1,1,1,1,28,25,17,17,20,9,8,4,8,7,22,25,18,20,20,18,18,17,17,18,35,32,37,34,36,38,36,31,34,34,15,17,16,16,16,19,18,11,1,38,37
P29,10,9,10,10,11,17,16,15,16,16,1,1,2,1,1,48,51,48,47,47,60,59,61,60,60,29,25,21,24,23,41,42,40,41,39,30,28,30,30,29,29,29,18,1,61,60
P30,12,13,11,12,13,10,11,7,8,7,2,2,5,3,3,13,15,12,13,13,19,16,20,21,22,24,21,24,28,24,15,14,21,17,16,10,10,8,8,7,13,13,6,2,28,26
P31,17,17,16,18,18,22,21,18,18,17,24,24,24,24,25,17,17,15,15,15,21,21,24,25,26,7,7,5,6,6,8,7,4,7,6,54,56,51,52,52,21,18,14,4,56,52
P32,33,54,32,32,31,20,23,30,27,30,27,26,21,25,23,52,54,51,51,51,14,13,12,14,14,5,4,6,5,5,59,60,60,60,60,17,15,14,15,15,29,26,18,4,60,56
P33,58,55,57,58,58,61,60,60,60,60,25,30,34,32,34,46,43,47,46,45,46,52,46,52,52,36,30,28,33,31,9,9,27,14,21,20,31,39,40,44,41,43,15,9,61,52
P34,39,34,37,36,40,25,26,26,26,25,8,10,9,10,10,34,33,33,33,32,35,33,39,39,41,42,49,39,42,42,30,28,25,28,24,25,29,32,33,33,30,33,10,8,49,41
P35,45,44,47,49,49,31,30,25,25,26,33,36,42,38,38,16,16,22,17,17,44,37,50,48,49,22,22,14,19,17,19,22,18,19,19,7,8,9,9,9,28,25,13,7,50,43
P36,57,56,56,56,56,53,54,56,54,53,32,34,38,37,37,20,19,24,24,21,43,49,47,51,50,43,42,43,43,43,37,37,35,35,35,35,40,48,48,46,42,43,11,19,57,38
P37,53,60,52,54,52,21,20,20,19,18,41,41,40,39,40,15,14,16,16,16,55,56,53,53,53,13,14,10,10,10,32,31,24,29,28,46,45,41,41,41,33,33,16,10,60,50
P38,25,24,29,29,30,12,12,14,12,14,18,15,12,14,13,10,11,8,10,10,3,4,5,4,4,6,6,7,7,7,17,13,10,13,10,6,6,6,7,6,12,10,7,3,30,27
P39,8,6,6,6,6,1,1,1,1,1,10,11,14,11,11,4,3,3,4,4,6,6,6,6,6,9,8,8,9,9,23,29,15,24,26,5,4,4,4,4,8,6,7,1,29,28
P40,51,57,49,50,50,52,53,58,58,58,52,54,59,57,57,58,59,58,57,57,34,39,33,33,33,57,59,56,57,57,47,45,52,48,47,22,27,33,34,34,49,52,10,22,59,37
P41,34,32,35,35,37,57,56,55,55,54,23,25,30,29,29,49,49,49,49,49,52,50,54,54,54,58,57,58,58,58,46,43,43,45,43,59,58,59,59,59,47,49,11,23,59,36
P42,43,36,38,38,39,41,38,38,37,36,29,28,28,28,28,31,32,32,31,30,16,19,14,15,15,37,37,38,38,38,48,52,47,51,50,39,36,31,31,31,34,36,9,14,52,38
P43,46,39,45,47,47,54,52,57,56,55,38,39,39,41,41,57,58,57,58,58,47,41,48,46,46,60,60,59,60,60,52,50,54,52,52,48,47,49,49,47,50,50,7,38,60,22
P44,48,45,44,44,44,49,50,54,52,52,48,48,44,44,46,60,60,61,61,61,56,54,57,57,57,55,56,54,55,56,58,55,58,56,56,8,9,11,12,11,48,54,15,8,61,53
P45,54,52,53,52,54,44,46,50,47,47,40,40,36,40,39,55,50,55,52,52,45,43,44,44,44,53,45,52,50,50,60,58,57,58,58,21,22,20,21,20,46,47,11,20,60,40
P46,11,11,13,13,12,4,4,3,4,4,31,29,22,26,26,1,1,1,1,1,4,3,4,5,5,20,23,16,18,19,13,17,8,12,17,9,7,5,5,5,11,9,8,1,31,30
P47,32,41,34,34,33,11,8,6,6,6,49,49,50,50,49,5,5,10,5,5,24,25,19,20,21,16,15,17,14,15,34,44,34,38,44,2,1,1,2,2,22,19,16,1,50,49
P48,44,35,46,45,45,37,40,44,44,43,58,59,52,55,55,42,40,45,44,44,38,35,43,42,43,44,46,45,44,44,56,57,55,55,55,47,46,42,43,43,46,44,6,35,59,24
P49,40,50,39,39,35,7,7,12,9,8,42,42,41,42,42,9,8,4,6,6,1,1,1,1,1,2,1,1,2,2,31,34,23,32,33,1,2,2,1,1,17,8,17,1,50,49
P50,31,29,31,31,32,18,18,22,21,22,60,60,56,60,60,30,21,31,32,33,54,53,55,55,55,31,31,34,30,34,54,59,56,57,57,16,14,12,14,13,37,32,16,12,60,48
P51,36,40,40,41,38,46,45,45,45,44,57,55,53,53,53,21,18,29,28,28,49,47,40,43,39,59,55,60,59,59,28,24,32,27,25,26,23,23,24,23,40,40,13,18,60,42
P53,55,48,55,55,55,51,51,52,51,51,44,43,43,43,43,39,38,41,41,41,39,42,37,37,38,56,48,57,56,55,16,16,20,16,14,52,53,56,55,55,44,44,12,14,57,43
P54,60,59,60,60,60,60,57,59,59,59,55,52,55,54,54,32,31,35,34,34,58,58,58,58,58,50,52,53,49,49,43,46,38,44,45,61,61,61,61,61,52,55,9,31,61,30
P55,52,49,54,51,53,50,49,51,48,48,56,56,58,56,56,14,13,25,18,19,32,34,31,31,31,30,43,25,23,28,3,1,2,4,4,53,52,54,53,53,37,43,18,1,58,57
P56,37,38,42,43,41,27,27,32,29,28,39,38,32,34,33,12,12,14,12,12,5,5,3,3,3,21,19,27,26,27,1,4,5,1,1,51,51,52,51,51,25,27,16,1,52,51
P57,56,53,58,57,57,59,59,53,57,56,59,58,60,58,58,6,4,6,7,7,33,30,34,35,35,23,27,32,25,26,4,3,1,3,3,60,60,60,60,60,38,38,22,1,60,59
P58,59,58,59,59,59,58,58,61,61,61,54,57,57,59,59,59,56,59,60,60,42,44,36,36,36,52,58,46,51,51,26,26,37,31,31,11,12,27,26,32,47,54,14,11,61,50
P59,61,61,61,61,61,35,44,48,49,49,61,61,61,61,61,37,34,43,39,39,40,40,42,41,40,40,44,47,45,46,5,5,11,6,5,27,26,26,27,25,40,41,17,5,61,56
P60,47,51,51,53,51,39,39,42,41,40,19,22,23,20,20,11,10,11,11,11,8,9,7,7,7,25,26,26,27,25,2,2,3,2,2,14,16,19,18,19,22,19,15,2,53,51
P61,24,25,30,30,25,40,34,27,30,33,51,50,54,52,51,3,7,9,3,3,30,28,28,24,24,4,5,4,4,4,11,15,12,11,12,42,43,47,45,45,25,25,16,3,54,51
P62,41,37,43,42,42,19,19,23,23,23,26,23,20,21,19,7,6,5,9,9,17,17,16,16,17,11,10,15,15,14,10,10,6,10,9,32,30,28,28,26,20,19,10,5,43,38
P63,38,31,41,40,43,23,22,19,20,19,6,5,3,4,4,8,9,7,8,8,9,8,8,9,9,39,40,40,39,39,18,19,16,18,13,19,18,18,19,17,19,18,12,3,43,40
