Position,Province,ER_Score,ER_Rank,Percentile,Z_Score,Tier,Belief_Entropy,Utility_Interval_Width,Kendall_W
1,P39,0.6310,1,100.0000,2.1822,Elite (Top 10%),1.3080,0.4600,0.3818
2,P12,0.5956,2,98.4000,1.6928,Elite (Top 10%),1.5770,0.4718,0.3818
3,P46,0.5894,3,96.7000,1.6060,Elite (Top 10%),1.3789,0.4647,0.3818
4,P30,0.5892,4,95.1000,1.6037,Elite (Top 10%),1.2820,0.4601,0.3818
5,P38,0.5819,5,93.4000,1.5030,Elite (Top 10%),1.2387,0.4591,0.3818
6,P49,0.5720,6,91.8000,1.3666,Elite (Top 10%),1.5258,0.4706,0.3818
7,P14,0.5567,7,90.2000,1.1543,High (10-25%),1.5761,0.4729,0.3818
8,P28,0.5559,8,88.5000,1.1434,High (10-25%),1.4561,0.4673,0.3818
9,P22,0.5533,9,86.9000,1.1073,High (10-25%),1.3026,0.4612,0.3818
10,P63,0.5522,10,85.2000,1.0915,High (10-25%),1.3642,0.4639,0.3818
11,P29,0.5447,11,83.6000,0.9878,High (10-25%),1.6093,0.4728,0.3818
12,P26,0.5426,12,82.0000,0.9600,High (10-25%),1.5021,0.4687,0.3818
13,P18,0.5384,13,80.3000,0.9018,High (10-25%),1.5892,0.4726,0.3818
14,P60,0.5361,14,78.7000,0.8700,High (10-25%),1.3814,0.4620,0.3818
15,P31,0.5337,15,77.0000,0.8365,High (10-25%),1.3690,0.4626,0.3818
16,P62,0.5283,16,75.4000,0.7611,Upper-Mid (25-50%),1.1463,0.4525,0.3818
17,P04,0.5261,17,73.8000,0.7316,Upper-Mid (25-50%),1.3520,0.4622,0.3818
18,P47,0.5163,18,72.1000,0.5953,Upper-Mid (25-50%),1.5452,0.4704,0.3818
19,P21,0.5135,19,70.5000,0.5567,Upper-Mid (25-50%),1.3290,0.4619,0.3818
20,P24,0.5127,20,68.9000,0.5462,Upper-Mid (25-50%),1.4326,0.4659,0.3818
21,P56,0.5123,21,67.2000,0.5404,Upper-Mid (25-50%),1.4412,0.4648,0.3818
22,P27,0.5095,22,65.6000,0.5013,Upper-Mid (25-50%),1.4078,0.4661,0.3818
23,P13,0.5017,23,63.9000,0.3934,Upper-Mid (25-50%),1.1966,0.4551,0.3818
24,P15,0.4996,24,62.3000,0.3644,Upper-Mid (25-50%),1.5690,0.4700,0.3818
25,P34,0.4935,25,60.7000,0.2798,Upper-Mid (25-50%),1.2744,0.4595,0.3818
26,P11,0.4919,26,59.0000,0.2575,Upper-Mid (25-50%),1.2049,0.4552,0.3818
27,P09,0.4907,27,57.4000,0.2413,Upper-Mid (25-50%),1.2178,0.4577,0.3818
28,P32,0.4897,28,55.7000,0.2272,Upper-Mid (25-50%),1.5127,0.4677,0.3818
29,P02,0.4865,29,54.1000,0.1827,Upper-Mid (25-50%),1.2355,0.4556,0.3818
30,P16,0.4843,30,52.5000,0.1524,Upper-Mid (25-50%),1.4043,0.4642,0.3818
31,P61,0.4834,31,50.8000,0.1400,Lower-Mid (50-75%),1.4742,0.4678,0.3818
32,P35,0.4786,32,49.2000,0.0736,Lower-Mid (50-75%),1.0930,0.4492,0.3818
33,P25,0.4744,33,47.5000,0.0157,Lower-Mid (50-75%),1.3921,0.4651,0.3818
34,P05,0.4706,34,45.9000,-0.0368,Lower-Mid (50-75%),1.4062,0.4654,0.3818
35,P42,0.4616,35,44.3000,-0.1611,Lower-Mid (50-75%),1.2605,0.4579,0.3818
36,P01,0.4586,36,42.6000,-0.2029,Lower-Mid (50-75%),1.5994,0.4717,0.3818
37,P23,0.4545,37,41.0000,-0.2592,Lower-Mid (50-75%),1.5923,0.4718,0.3818
38,P07,0.4509,38,39.3000,-0.3093,Lower-Mid (50-75%),1.3855,0.4621,0.3818
39,P37,0.4470,39,37.7000,-0.3625,Lower-Mid (50-75%),1.2687,0.4599,0.3818
40,P08,0.4305,40,36.1000,-0.5908,Lower-Mid (50-75%),1.2218,0.4567,0.3818
41,P33,0.4291,41,34.4000,-0.6104,Lower-Mid (50-75%),1.2061,0.4557,0.3818
42,P55,0.4279,42,32.8000,-0.6273,Lower-Mid (50-75%),1.5002,0.4668,0.3818
43,P19,0.4223,43,31.1000,-0.7048,Lower-Mid (50-75%),1.4350,0.4644,0.3818
44,P06,0.4219,44,29.5000,-0.7104,Lower-Mid (50-75%),1.3493,0.4618,0.3818
45,P10,0.4188,45,27.9000,-0.7525,Lower-Mid (50-75%),1.1403,0.4542,0.3818
46,P57,0.4188,46,26.2000,-0.7529,Low (75-100%),1.6273,0.4722,0.3818
47,P20,0.4153,47,24.6000,-0.8016,Low (75-100%),1.2473,0.4564,0.3818
48,P50,0.4105,48,23.0000,-0.8676,Low (75-100%),1.3785,0.4641,0.3818
49,P51,0.4074,49,21.3000,-0.9109,Low (75-100%),1.2795,0.4604,0.3818
50,P36,0.4062,50,19.7000,-0.9269,Low (75-100%),1.1460,0.4529,0.3818
51,P45,0.3922,51,18.0000,-1.1211,Low (75-100%),1.2389,0.4571,0.3818
52,P53,0.3891,52,16.4000,-1.1640,Low (75-100%),1.2237,0.4557,0.3818
53,P41,0.3890,53,14.8000,-1.1650,Low (75-100%),1.3482,0.4643,0.3818
54,P03,0.3824,54,13.1000,-1.2571,Low (75-100%),1.2203,0.4559,0.3818
55,P48,0.3706,55,11.5000,-1.4192,Low (75-100%),1.1007,0.4470,0.3818
56,P44,0.3641,56,9.8000,-1.5090,Low (75-100%),1.3427,0.4632,0.3818
57,P43,0.3633,57,8.2000,-1.5208,Low (75-100%),1.2937,0.4617,0.3818
58,P59,0.3614,58,6.6000,-1.5475,Low (75-100%),1.4432,0.4668,0.3818
59,P58,0.3603,59,4.9000,-1.5616,Low (75-100%),1.3112,0.4623,0.3818
60,P40,0.3497,60,3.3000,-1.7087,Low (75-100%),1.2834,0.4609,0.3818
61,P54,0.3282,61,1.6000,-2.0056,Low (75-100%),1.1265,0.4516,0.3818
